node,Fx,Fy,Fz,Mx,My,Mz
1,0.0,-12.528,0.0,3240.0,0.0,-3686.4
2,0.0,-16.032,0.0,-1108.4,0.0,-3686.4
3,0.0,-11.712,0.0,-2131.6,0.0,-3686.4
4,0.0,-6.96,0.0,0.0,0.0,0.0
5,0.0,-6.96,0.0,0.0,0.0,0.0
6,0.0,-6.96,0.0,0.0,0.0,0.0
7,0.0,-15.408,0.0,3240.0,0.0,-3686.4
8,0.0,-13.176,0.0,-1108.4,0.0,-774.4
9,0.0,-8.856,0.0,-2131.6,0.0,-774.4
10,0.0,-15.408,0.0,3240.0,0.0,-3686.4
11,0.0,-13.32,0.0,-3009.6,0.0,-3686.4
12,0.0,-7.896,0.0,-960.4,0.0,-921.6
13,0.0,-18.36,0.0,4050.0,0.0,-2888.0
14,0.0,-19.8,0.0,-3762.0,0.0,-2888.0
15,0.0,-14.22,0.0,-1200.5,0.0,-1152.0
16,0.0,-8.112,0.0,2131.6,0.0,-307.2
17,0.0,-6.864,0.0,-2131.6,0.0,504.0
18,0.0,-6.864,0.0,883.6,0.0,0.0
19,0.0,-4.56,0.0,-883.6,0.0,-921.6
20,0.0,-9.732,0.0,144.1,0.0,760.0
21,0.0,-5.7,0.0,-1104.5,0.0,-1152.0
22,0.0,-4.752,0.0,883.6,0.0,0.0
23,0.0,-3.816,0.0,-883.6,0.0,-338.0
24,0.0,-18.48,0.0,3240.0,0.0,-2464.0
25,0.0,-19.38,0.0,-3240.0,0.0,-2464.0
26,0.0,-10.908,0.0,0.0,0.0,3686.4
27,0.0,-26.064,0.0,0.0,0.0,-28240.8
28,0.0,-6.96,0.0,0.0,0.0,0.0
29,0.0,-8.7,0.0,0.0,0.0,0.0
30,0.0,-12.18,0.0,0.0,0.0,0.0
31,0.0,-10.44,0.0,0.0,0.0,0.0
32,0.0,-21.36,0.0,3240.0,0.0,-2464.0
33,0.0,-22.752,0.0,-1108.4,0.0,-5068.8
34,0.0,-19.44,0.0,-1248.0,0.0,-5880.0
35,0.0,-13.098,0.0,-883.6,0.0,-6499.74
36,0.0,-21.36,0.0,3240.0,0.0,-2464.0
37,0.0,-22.512,0.0,-3009.6,0.0,-2464.0
38,0.0,-19.344,0.0,-76.8,0.0,-5228.8
39,0.0,-8.8032,0.0,-883.6,0.0,-2204.224
40,0.0,-8.796,0.0,2450.0,0.0,-1401.78
41,0.0,-7.236,0.0,88.0,0.0,-1401.78
42,0.0,-10.356,0.0,-96.0,0.0,-1401.78
43,0.0,-11.004,0.0,-1104.5,0.0,-2755.28
44,0.0,-19.5,0.0,0.0,0.0,5728.8
45,0.0,-12.432,0.0,0.0,0.0,2618.88
46,0.0,-13.872,0.0,3240.0,0.0,6150.4
47,0.0,-15.672,0.0,-3240.0,0.0,6150.4
48,0.0,-6.96,0.0,0.0,0.0,0.0
49,0.0,-10.44,0.0,0.0,0.0,0.0
50,0.0,-16.752,0.0,3240.0,0.0,6150.4
51,0.0,-23.052,0.0,-575.5,0.0,5510.4
52,0.0,-19.632,0.0,-1560.0,0.0,6150.4
53,0.0,-10.758,0.0,-1104.5,0.0,-291.06
54,0.0,-16.752,0.0,3240.0,0.0,6150.4
55,0.0,-20.256,0.0,-1108.4,0.0,6150.4
56,0.0,-18.192,0.0,-1248.0,0.0,6150.4
57,0.0,-3.9648,0.0,-883.6,0.0,506.944
58,0.0,-17.844,0.0,4050.0,0.0,2271.38
59,0.0,-22.224,0.0,-1385.5,0.0,2271.38
60,0.0,-19.644,0.0,-1560.0,0.0,2271.38
61,0.0,-4.956,0.0,-1104.5,0.0,633.68
62,0.0,-3.6,0.0,0.0,0.0,0.0
63,0.0,-26.064,0.0,0.0,0.0,28240.8
64,0.0,-6.96,0.0,0.0,0.0,0.0
65,0.0,-10.44,0.0,0.0,0.0,0.0
66,0.0,-7.68,0.0,5760.0,0.0,640.0
67,0.0,-9.96,0.0,-5760.0,0.0,1400.0
68,0.0,-7.44,0.0,0.0,0.0,3273.6
69,0.0,-6.744,0.0,2131.6,0.0,0.0
70,0.0,-6.744,0.0,-2131.6,0.0,0.0
71,0.0,-6.744,0.0,-2131.6,0.0,0.0
72,0.0,-6.744,0.0,2131.6,0.0,0.0
73,0.0,-16.44,0.0,2450.0,0.0,2688.0
74,0.0,-18.12,0.0,2450.0,0.0,-669.6
75,0.0,-6.96,0.0,-200.0,0.0,2688.0
76,0.0,-8.64,0.0,-200.0,0.0,-669.6
77,0.0,-15.276,0.0,-2250.0,0.0,1601.78
78,0.0,-13.08,0.0,-2250.0,0.0,-200.0
79,0.0,-9.996,0.0,-2250.0,0.0,-1401.78
80,0.0,-8.047966,0.0,3240.0,0.0,-2361.044921
81,0.0,-6.072,0.0,-2707.1,0.0,0.0
82,0.0,-5.479966,0.0,-532.9,0.0,-2361.044921
83,0.0,-6.685108,0.0,1960.0,0.0,1867.602312
84,0.0,-2.712,0.0,372.9,0.0,0.0
85,0.0,-5.077108,0.0,-532.9,0.0,1867.602312
86,0.0,-9.36,0.0,0.0,0.0,192.0
87,0.0,-13.92,0.0,0.0,0.0,-669.6
88,0.0,-11.484766,0.0,1960.0,0.0,14.020921
89,0.0,-11.081908,0.0,1960.0,0.0,479.421688
90,0.0,-10.117108,0.0,-683.1,0.0,-1867.602312
91,0.0,-6.792,0.0,-683.1,0.0,0.0
92,0.0,-12.132766,0.0,350.7,0.0,14.020921
93,0.0,-11.729908,0.0,350.7,0.0,479.421688
94,0.0,-7.0368,0.0,1960.0,0.0,-2347.024
95,0.0,-7.0368,0.0,1960.0,0.0,2347.024
96,0.0,-11.5008,0.0,1499.6,0.0,2347.024
97,0.0,-11.5008,0.0,1499.6,0.0,-2347.024
98,0.0,-8.1408,0.0,-3459.6,0.0,-2347.024
99,0.0,-8.1408,0.0,-3459.6,0.0,2347.024
100,0.0,-5.9328,0.0,-883.6,0.0,-2347.024
101,0.0,-5.9328,0.0,-883.6,0.0,2347.024
102,0.0,-6.684,0.0,912.5,0.0,921.6
103,0.0,-6.684,0.0,912.5,0.0,-921.6
104,0.0,-8.112,0.0,730.0,0.0,3686.4
105,0.0,-8.112,0.0,730.0,0.0,-3686.4
106,0.0,-6.96,0.0,960.4,0.0,0.0
107,0.0,-7.231966,0.0,0.0,0.0,-2361.044921
108,0.0,-8.191966,0.0,-744.0,0.0,2361.044921
109,0.0,-7.645108,0.0,-1800.0,0.0,1867.602312
110,0.0,-7.789108,0.0,-744.0,0.0,-1867.602312
111,0.0,-6.829108,0.0,0.0,0.0,1867.602312
